addit_train_data_size,addit_train_data_acc,addit_train_data_f1,all_graph_acc,all_graph_f1,cc_distribution,small_cc,large_cc,bridges,wrong_bridges,cuts,wrong_cuts,heatmap
48593,0.9962957627641842,0.9440993788819876,0.984,0.893,"Counter({2: 578, 3: 207, 4: 156, 5: 114, 6: 53, 7: 50, 8: 8, 10: 5, 9: 3, 1: 3, 14: 2, 11: 2, 13: 2, 15: 1, 18: 1, 16: 1, 22: 1, 21: 1, 34: 1, 12: 1})",944,246,6,0,8,3,
48621,0.9962156269924518,0.9431747992588017,0.984,0.895,"Counter({2: 574, 3: 204, 4: 163, 5: 112, 6: 57, 7: 46, 10: 8, 8: 7, 9: 6, 13: 4, 12: 4, 11: 4, 1: 3, 24: 1, 14: 1})",944,250,8,0,8,3,
48670,0.9961783439490446,0.943014705882353,0.985,0.899,"Counter({2: 577, 3: 216, 4: 158, 5: 114, 6: 58, 7: 48, 10: 6, 8: 5, 16: 3, 9: 3, 15: 2, 1: 2, 11: 2, 12: 1, 23: 1, 20: 1, 26: 1})",953,245,3,0,7,3,
48856,0.9964794498116915,0.9484721390053924,0.988,0.918,"Counter({2: 580, 3: 219, 4: 166, 5: 111, 6: 61, 7: 51, 9: 7, 8: 5, 10: 5, 15: 2, 1: 2, 21: 1})",967,243,2,0,6,3,
48923,0.9958710626903502,0.9400237529691211,0.989,0.92,"Counter({2: 574, 3: 214, 4: 173, 5: 109, 6: 60, 7: 49, 8: 6, 9: 6, 10: 2, 15: 2, 1: 2, 13: 1, 11: 1, 14: 1})",963,237,1,0,7,3,
48962,0.9958539275356398,0.9395293416741137,0.989,0.924,"Counter({2: 590, 3: 217, 4: 162, 5: 108, 6: 63, 7: 47, 9: 6, 8: 5, 1: 3, 11: 2, 15: 1, 14: 1, 21: 1})",972,234,4,0,7,2,
48804,0.9961888369805754,0.9432234432234431,0.987,0.913,"Counter({2: 586, 3: 202, 4: 162, 5: 110, 6: 63, 7: 48, 10: 5, 9: 5, 8: 4, 1: 4, 15: 2, 16: 1, 14: 1, 12: 1, 21: 1, 11: 1, 13: 1})",954,243,2,0,9,3,
48817,0.9957391892168712,0.9369314736203761,0.987,0.91,"Counter({2: 586, 3: 210, 4: 160, 5: 109, 6: 59, 7: 49, 10: 5, 9: 5, 11: 4, 8: 4, 15: 2, 1: 2, 14: 1, 21: 1, 13: 1})",958,240,3,0,7,1,
49039,0.9955341666836599,0.9356450191007933,0.99,0.926,"Counter({2: 601, 3: 217, 4: 159, 5: 112, 6: 59, 7: 49, 9: 3, 8: 3, 14: 2, 1: 2, 15: 1, 11: 1})",979,230,1,0,5,1,
48926,0.9958304378040306,0.9391408114558473,0.988,0.919,"Counter({2: 599, 3: 210, 4: 160, 5: 109, 6: 60, 7: 49, 10: 5, 1: 4, 8: 4, 15: 2, 9: 2, 14: 1, 21: 1, 11: 1})",973,234,0,0,8,3,
48941,0.9959951778672279,0.941839762611276,0.989,0.921,"Counter({2: 597, 3: 206, 4: 166, 5: 111, 6: 60, 7: 49, 8: 3, 10: 3, 9: 3, 1: 3, 15: 2, 12: 1, 21: 1, 11: 1})",972,234,2,0,9,3,
49040,0.9962887438825448,0.9468147282291057,0.991,0.933,"Counter({2: 605, 3: 218, 4: 164, 5: 112, 6: 60, 7: 49, 8: 3, 9: 3, 13: 2, 1: 2, 12: 1, 10: 1})",989,231,0,0,8,2,
48907,0.9961764164639009,0.944394885518882,0.989,0.92,"Counter({2: 599, 3: 211, 4: 164, 5: 113, 6: 60, 7: 49, 8: 6, 9: 6, 10: 3, 1: 3, 13: 1, 11: 1, 14: 1})",977,240,0,0,8,4,
49008,0.9962863206007182,0.9465648854961832,0.99,0.93,"Counter({2: 605, 3: 219, 4: 162, 5: 111, 6: 62, 7: 47, 8: 6, 9: 3, 1: 3, 10: 2, 11: 1, 13: 1})",989,233,0,0,8,4,
48983,0.9958352897944185,0.9396449704142013,0.989,0.925,"Counter({2: 595, 3: 224, 4: 157, 5: 110, 6: 59, 7: 49, 8: 6, 9: 5, 1: 4, 10: 2, 21: 1, 11: 1})",980,233,1,0,10,4,
48936,0.9961786823606343,0.9446581828943473,0.989,0.923,"Counter({2: 590, 3: 217, 4: 166, 5: 111, 6: 66, 7: 48, 8: 6, 9: 4, 1: 4, 11: 2, 12: 1, 13: 1, 10: 1})",977,240,0,0,12,3,
48943,0.9964652759332284,0.94840441395765,0.989,0.925,"Counter({2: 610, 3: 211, 4: 156, 5: 109, 6: 66, 7: 47, 1: 5, 8: 4, 9: 4, 12: 2, 10: 2, 11: 1, 14: 1})",982,236,0,0,12,3,
49080,0.9964751426242868,0.9494595384165937,0.991,0.938,"Counter({2: 620, 3: 212, 4: 160, 5: 106, 6: 61, 7: 45, 8: 5, 9: 4, 1: 4, 10: 2, 13: 1})",996,224,0,0,11,2,
49058,0.9968200905051164,0.953626634958383,0.991,0.939,"Counter({2: 624, 3: 206, 4: 150, 5: 111, 6: 61, 7: 45, 8: 6, 1: 5, 9: 3, 11: 2, 13: 1})",985,229,0,0,11,2,
48988,0.9962643912794971,0.9451603236439915,0.99,0.93,"Counter({2: 613, 3: 201, 4: 156, 5: 112, 6: 60, 7: 48, 8: 6, 1: 6, 9: 2, 11: 2, 20: 1, 14: 1, 10: 1})",976,233,0,0,12,2,
48972,0.996344850118435,0.9467420410592086,0.99,0.928,"Counter({2: 604, 3: 205, 4: 162, 5: 110, 6: 63, 7: 48, 1: 5, 8: 4, 9: 3, 10: 2, 12: 1, 15: 1, 14: 1, 11: 1})",976,234,0,0,12,2,
48968,0.9965079235419049,0.9486332231901472,0.99,0.93,"Counter({2: 617, 3: 198, 4: 157, 5: 116, 6: 59, 7: 46, 1: 5, 8: 4, 9: 3, 11: 2, 15: 1, 10: 1, 12: 1, 13: 1, 14: 1})",977,235,0,0,12,2,
49017,0.9966338209192729,0.9510821227394012,0.991,0.934,"Counter({2: 622, 3: 202, 4: 159, 5: 113, 6: 57, 7: 47, 1: 5, 8: 4, 13: 3, 9: 3, 12: 1, 11: 1})",988,229,0,0,11,3,
49074,0.9968211272771732,0.9536266349583828,0.992,0.942,"Counter({2: 635, 3: 199, 4: 153, 5: 113, 6: 61, 7: 46, 1: 5, 8: 3, 9: 3, 12: 1, 13: 1, 10: 1})",992,229,0,0,11,3,
49027,0.9967364921369858,0.9524092801903629,0.991,0.934,"Counter({2: 631, 3: 195, 4: 154, 5: 106, 6: 60, 7: 42, 8: 5, 1: 5, 9: 3, 12: 2, 19: 1, 14: 1, 13: 1, 10: 1, 11: 1})",985,223,0,0,11,2,
49075,0.9967193071828834,0.952493360873414,0.992,0.939,"Counter({2: 636, 3: 196, 4: 156, 5: 109, 6: 58, 7: 44, 9: 4, 1: 4, 8: 2, 12: 2, 14: 1, 13: 1, 10: 1})",992,222,0,0,11,2,
49080,0.9968622656886715,0.9546525323910483,0.992,0.94,"Counter({2: 632, 3: 203, 4: 154, 5: 103, 6: 62, 7: 45, 9: 4, 1: 3, 8: 2, 13: 2, 11: 1, 15: 1, 10: 1})",992,221,0,0,9,1,
49058,0.9969016266460109,0.9552941176470588,0.991,0.939,"Counter({2: 623, 3: 199, 4: 163, 5: 109, 6: 58, 7: 47, 8: 3, 9: 3, 1: 3, 14: 1, 12: 1, 13: 1, 10: 1})",988,224,0,0,10,2,
49065,0.9966982574136349,0.9522687094873306,0.992,0.94,"Counter({2: 621, 3: 206, 4: 160, 5: 111, 6: 60, 7: 45, 8: 4, 1: 4, 9: 3, 10: 2, 14: 1, 13: 1})",991,227,0,0,11,2,
49040,0.9968597063621534,0.9542755344418051,0.991,0.939,"Counter({2: 623, 3: 197, 4: 160, 5: 111, 6: 60, 7: 46, 8: 5, 1: 4, 9: 3, 10: 2, 11: 1, 13: 1})",984,229,0,0,11,1,
49012,0.9967558965151392,0.9526080476900148,0.991,0.935,"Counter({2: 622, 3: 194, 4: 161, 5: 111, 6: 60, 7: 45, 8: 6, 1: 5, 9: 3, 19: 1, 12: 1, 13: 1, 11: 1})",982,229,0,0,12,2,
49019,0.997021563067382,0.956855791962175,0.991,0.936,"Counter({2: 620, 3: 201, 4: 162, 5: 109, 6: 59, 7: 47, 8: 4, 9: 4, 1: 3, 11: 2, 18: 1, 13: 1})",986,227,0,0,13,3,
49016,0.9969397747674229,0.9554102259215219,0.991,0.937,"Counter({2: 627, 3: 196, 4: 161, 5: 107, 6: 63, 7: 47, 8: 4, 9: 3, 1: 3, 19: 1, 11: 1, 13: 1, 10: 1})",987,228,1,0,12,2,
49036,0.9967982706582919,0.9536462946560378,0.991,0.938,"Counter({2: 621, 3: 202, 4: 163, 5: 109, 6: 62, 7: 46, 9: 5, 8: 4, 1: 3, 11: 1, 13: 1, 10: 1})",989,229,0,0,12,1,
49029,0.9966958330783822,0.9521276595744681,0.991,0.936,"Counter({2: 623, 3: 203, 4: 161, 5: 113, 6: 59, 7: 45, 1: 5, 8: 4, 9: 3, 11: 2, 14: 1, 13: 1, 10: 1})",992,229,1,0,13,3,
49020,0.9967564259485924,0.9528888888888889,0.991,0.936,"Counter({2: 624, 3: 198, 4: 162, 5: 104, 6: 62, 7: 49, 1: 5, 8: 4, 10: 3, 9: 2, 15: 1, 14: 1, 13: 1})",989,227,1,0,14,2,
49014,0.9964295915452728,0.94824016563147,0.991,0.934,"Counter({2: 612, 3: 207, 4: 164, 5: 111, 6: 65, 7: 45, 8: 4, 1: 4, 10: 2, 9: 2, 15: 1, 14: 1, 12: 1})",987,232,0,0,13,2,
49061,0.9964126291759239,0.9483264826776278,0.991,0.938,"Counter({2: 620, 3: 207, 4: 164, 5: 110, 6: 64, 7: 43, 8: 3, 9: 3, 1: 3, 10: 1, 14: 1, 13: 1, 12: 1})",994,227,0,0,12,1,
49016,0.9962461237147054,0.9459776864357018,0.99,0.932,"Counter({2: 611, 3: 205, 4: 170, 5: 105, 6: 61, 7: 48, 8: 5, 1: 4, 10: 2, 9: 2, 14: 1, 11: 1, 13: 1, 12: 1})",990,227,1,0,12,2,
49076,0.996515608444046,0.9497797356828194,0.992,0.941,"Counter({2: 619, 3: 214, 4: 161, 5: 114, 6: 62, 7: 45, 8: 3, 9: 3, 1: 3, 13: 1, 12: 1})",997,229,0,0,12,1,
49028,0.9963082320306763,0.9468428781204112,0.991,0.933,"Counter({2: 622, 3: 204, 4: 165, 5: 112, 6: 60, 7: 45, 9: 4, 8: 3, 1: 3, 14: 1, 12: 1, 13: 1, 11: 1})",994,228,0,0,12,2,
49029,0.9963898916967509,0.9479870702321481,0.991,0.933,"Counter({2: 621, 3: 201, 4: 165, 5: 109, 6: 60, 7: 46, 1: 5, 8: 4, 9: 3, 13: 2, 16: 1, 11: 1})",992,226,0,0,12,2,
48988,0.9962848044419041,0.9457687723480335,0.99,0.931,"Counter({2: 620, 3: 203, 4: 159, 5: 115, 6: 57, 7: 45, 9: 5, 8: 4, 1: 4, 11: 2, 15: 2, 13: 1, 12: 1})",986,232,0,0,12,1,
48852,0.9961721116842709,0.9427258805513017,0.988,0.918,"Counter({2: 601, 3: 205, 4: 154, 5: 112, 6: 61, 7: 42, 8: 7, 9: 5, 1: 4, 13: 3, 10: 2, 11: 2, 25: 1, 15: 1, 21: 1})",964,237,2,0,12,3,
48787,0.9961465144403222,0.941651148355059,0.988,0.914,"Counter({2: 599, 3: 198, 4: 154, 5: 109, 6: 60, 7: 50, 8: 6, 1: 6, 9: 5, 10: 4, 13: 3, 23: 1, 15: 1, 14: 1, 11: 1, 19: 1})",957,242,2,0,13,3,
48860,0.9962136717151043,0.9437860832573686,0.988,0.919,"Counter({2: 611, 3: 203, 4: 156, 5: 108, 6: 57, 7: 48, 8: 5, 1: 5, 9: 4, 11: 2, 13: 2, 25: 1, 14: 1, 18: 1, 12: 1, 10: 1})",975,231,3,0,17,4,
48999,0.9969387130349598,0.954846478025286,0.991,0.938,"Counter({2: 629, 3: 203, 4: 151, 5: 111, 6: 58, 7: 48, 8: 5, 9: 4, 1: 4, 14: 1, 21: 1, 13: 1, 10: 1})",987,230,2,0,12,1,
48924,0.9971588586378873,0.9572176054170515,0.991,0.934,"Counter({2: 625, 3: 198, 4: 146, 5: 114, 6: 58, 7: 48, 8: 8, 1: 5, 9: 4, 10: 2, 25: 1, 13: 1, 12: 1})",974,237,2,0,13,2,
48932,0.9969140848524483,0.9542285541073053,0.99,0.932,"Counter({2: 622, 3: 199, 4: 156, 5: 112, 6: 58, 7: 44, 8: 5, 1: 5, 9: 4, 11: 3, 14: 2, 19: 1, 13: 1, 10: 1, 12: 1})",982,232,2,0,13,2,
48912,0.996810598626104,0.9523809523809524,0.99,0.931,"Counter({2: 608, 3: 202, 4: 157, 5: 112, 6: 58, 7: 44, 8: 6, 9: 5, 1: 5, 10: 4, 13: 2, 14: 2, 19: 1})",972,234,6,0,16,2,
48920,0.9966067048242028,0.9497274379164143,0.99,0.93,"Counter({2: 609, 3: 204, 4: 160, 5: 114, 6: 61, 7: 44, 8: 6, 9: 5, 1: 4, 11: 2, 19: 1, 14: 1, 13: 1, 12: 1, 10: 1})",977,237,3,0,15,2,
48985,0.9971623966520363,0.9578404610251744,0.992,0.94,"Counter({2: 632, 3: 198, 4: 150, 5: 111, 6: 63, 7: 43, 9: 5, 8: 5, 1: 4, 19: 1, 14: 1, 13: 1, 10: 1, 12: 1})",984,232,3,0,15,3,
48996,0.9971426238876643,0.9578567128236002,0.992,0.94,"Counter({2: 626, 3: 202, 4: 153, 5: 109, 6: 61, 7: 45, 8: 5, 9: 5, 1: 5, 14: 2, 12: 1, 13: 1, 10: 1})",986,230,4,0,14,2,
49044,0.9973289291248675,0.9609538002980627,0.992,0.945,"Counter({2: 626, 3: 205, 4: 155, 5: 111, 6: 61, 7: 47, 1: 6, 8: 4, 9: 3, 10: 2, 13: 1})",992,229,2,0,13,3,
49038,0.9974101717035768,0.9622136268967569,0.992,0.944,"Counter({2: 627, 3: 202, 4: 157, 5: 113, 6: 61, 7: 44, 1: 6, 8: 3, 9: 3, 14: 1, 11: 1, 13: 1, 10: 1})",992,228,0,0,13,4,
49062,0.9972483796013207,0.9600709849157054,0.993,0.946,"Counter({2: 628, 3: 206, 4: 160, 5: 118, 6: 57, 7: 46, 1: 5, 9: 3, 8: 2, 14: 1, 13: 1, 11: 1})",999,229,0,0,13,3,
49077,0.9969232023147299,0.9560151471016604,0.992,0.943,"Counter({2: 627, 3: 206, 4: 168, 5: 107, 6: 58, 7: 46, 1: 5, 9: 4, 8: 3, 14: 1, 13: 1, 11: 1})",1006,221,0,0,12,2,
49094,0.9968835295555465,0.9553023663453111,0.992,0.945,"Counter({2: 627, 3: 215, 4: 159, 5: 112, 6: 57, 7: 46, 1: 6, 9: 3, 8: 2, 14: 1, 13: 1, 11: 1})",1007,223,0,0,15,3,
49077,0.9967194408786193,0.9531295487627366,0.992,0.942,"Counter({2: 621, 3: 211, 4: 166, 5: 111, 6: 55, 7: 48, 1: 6, 9: 4, 8: 2, 14: 1, 13: 1, 10: 1})",1004,223,0,0,14,3,
49053,0.9967789941491856,0.9535840188014101,0.992,0.942,"Counter({2: 614, 3: 215, 4: 163, 5: 118, 6: 57, 7: 47, 1: 7, 9: 3, 8: 2, 14: 1, 13: 1, 12: 1})",999,230,0,0,16,5,
