P_model,R_model,F1_model_micro_one_lab,F1_model_micro_one_boost,F1_model_micro_mult_lab,F1_model_micro_mult_boost,F1_model_micro_mult_transfer_boost,F1_model_macro_one_lab,F1_model_macro_one_boost,F1_model_macro_mult_lab,F1_model_macro_mult_boost,F1_model_macro_mult_transfer_boost
0.778,0.75,0.763,0.881,0.6367989056087552,0.9120379929795581,0.9137860082304526,0.774,0.8790000000000001,0.7074,0.9122,0.9144
0.787,0.752,0.769,0.88,0.6369622851278544,0.9120182819154461,0.9140018627755356,0.7803000000000001,0.8778,0.7078,0.9123999999999999,0.9141999999999999
0.86,0.742,0.797,0.884,0.6369622851278544,0.9097502849445653,0.9118102114492006,0.8032999999999999,0.8816,0.7078,0.9096,0.9122
0.881,0.712,0.788,0.88,0.6367759048515446,0.913147742675425,0.9146252475763578,0.7937000000000001,0.8770999999999999,0.7078,0.9136000000000001,0.915
0.894,0.738,0.809,0.88,0.65900107797341,0.9106285237001461,0.9117493472584857,0.8141,0.8775000000000001,0.71,0.9103999999999999,0.9115
0.875,0.743,0.804,0.881,0.65900107797341,0.9133298484056456,0.915466499686913,0.8083,0.8779,0.71,0.9136,0.9157
0.876,0.731,0.797,0.882,0.6270539419087138,0.9156955380577428,0.9165879760780611,0.8021,0.8797,0.6820999999999999,0.916,0.9173
0.788,0.743,0.765,0.89,0.6207630587850008,0.9110787172011661,0.9119732999582812,0.7746000000000001,0.8873999999999999,0.67,0.9111,0.9124999999999999
0.785,0.745,0.765,0.878,0.6207630587850008,0.9081441366382003,0.9115108661744826,0.7731999999999999,0.8754000000000002,0.67,0.909,0.9124000000000001
0.782,0.767,0.774,0.887,0.6230550443366236,0.9089782002272963,0.9100682241058508,0.7828,0.8843,0.6687000000000001,0.9093,0.9106
0.786,0.745,0.765,0.883,0.6230550443366236,0.9089775561097257,0.9087519419989644,0.7745,0.8805,0.6687000000000001,0.9095000000000001,0.909
0.785,0.753,0.769,0.886,0.6230550443366236,0.9004276114844226,0.8992374173868837,0.7781,0.8834,0.6687000000000001,0.9023999999999999,0.9005000000000001
0.786,0.749,0.767,0.894,0.6473665852807813,0.9062660767568679,0.9105306458247635,0.7756000000000001,0.8905000000000001,0.6914,0.9067000000000001,0.9113
0.786,0.742,0.763,0.894,0.6485252808988763,0.9108214359611007,0.911625025810448,0.7719,0.8911,0.6934000000000001,0.9102,0.9118000000000002
0.773,0.711,0.741,0.894,0.6485252808988763,0.910426148117501,0.9124767225325885,0.7506000000000002,0.8911,0.6934000000000001,0.9107999999999998,0.913
0.786,0.754,0.77,0.894,0.6485252808988763,0.9104151493080844,0.9138110072689511,0.7785000000000001,0.8913,0.6934000000000001,0.9103,0.9138999999999999
0.787,0.751,0.769,0.894,0.6488100465443049,0.9115815691158156,0.9136340072576465,0.7772,0.8911999999999999,0.6939,0.9113,0.9138000000000002
0.755,0.753,0.754,0.893,0.6649943776489924,0.9113449317637253,0.9132287228515015,0.7586,0.8901,0.7081,0.9116,0.9138
