P,P_std,R,R_std,F1_micro,F1_micro_std,F1_macro,F1_macro_std,F1_micro_boot,F1_micro_boot_std,F1_macro_boot,F1_macro_boot_std,F1_model_micro_boost_graph,F1_model_micro_boost_graph_std
0.894,0.0,0.908,0.0,0.9,0.0,0.9035,0.0,0.896,0.0,0.8971,0.0,0.918,0.0
0.903,0.0,0.903,0.0,0.903,0.0,0.9048,0.0,0.895,0.0,0.8958999999999999,0.0,0.915,0.0
0.899,0.0,0.903,0.0,0.901,0.0,0.9029,0.0,0.896,0.0,0.8972999999999999,0.0,0.923,0.0
0.893,0.0,0.91,0.0,0.902,0.0,0.9029,0.0,0.896,0.0,0.8965,0.0,0.919,0.0
0.883,0.0,0.904,0.0,0.894,0.0,0.8958999999999999,0.0,0.897,0.0,0.8978000000000002,0.0,0.919,0.0
0.89,0.0,0.914,0.0,0.902,0.0,0.9035,0.0,0.896,0.0,0.8974,0.0,0.91,0.0
0.904,0.0,0.908,0.0,0.906,0.0,0.9073,0.0,0.896,0.0,0.8972000000000001,0.0,0.918,0.0
0.889,0.0,0.905,0.0,0.897,0.0,0.898,0.0,0.896,0.0,0.8973000000000001,0.0,0.92,0.0
0.886,0.0,0.906,0.0,0.896,0.0,0.8992000000000001,0.0,0.897,0.0,0.8986000000000001,0.0,0.914,0.0
0.902,0.0,0.905,0.0,0.904,0.0,0.9055,0.0,0.897,0.0,0.8984,0.0,0.919,0.0
0.894,0.0,0.907,0.0,0.9,0.0,0.9026000000000002,0.0,0.899,0.0,0.8996999999999999,0.0,0.92,0.0
0.891,0.0,0.906,0.0,0.898,0.0,0.9005999999999998,0.0,0.899,0.0,0.9003,0.0,0.917,0.0
0.886,0.0,0.899,0.0,0.892,0.0,0.8932,0.0,0.9,0.0,0.9004,0.0,0.916,0.0
0.895,0.0,0.907,0.0,0.901,0.0,0.9036000000000002,0.0,0.899,0.0,0.9003000000000002,0.0,0.908,0.0
0.887,0.0,0.902,0.0,0.894,0.0,0.8965,0.0,0.901,0.0,0.9011000000000001,0.0,0.918,0.0
0.889,0.0,0.903,0.0,0.896,0.0,0.8983000000000001,0.0,0.9,0.0,0.9006000000000001,0.0,0.911,0.0
0.894,0.0,0.899,0.0,0.897,0.0,0.8991,0.0,0.901,0.0,0.9019999999999999,0.0,0.919,0.0
0.867,0.0,0.9,0.0,0.883,0.0,0.8871,0.0,0.901,0.0,0.9019000000000001,0.0,0.914,0.0
0.911,0.0,0.897,0.0,0.904,0.0,0.9042,0.0,0.901,0.0,0.9018,0.0,0.91,0.0
0.899,0.0,0.901,0.0,0.9,0.0,0.9013000000000002,0.0,0.901,0.0,0.9019999999999999,0.0,0.922,0.0
0.878,0.0,0.903,0.0,0.891,0.0,0.8901,0.0,0.903,0.0,0.9038999999999999,0.0,0.914,0.0
0.906,0.0,0.899,0.0,0.903,0.0,0.9025999999999998,0.0,0.902,0.0,0.9031,0.0,0.911,0.0
0.906,0.0,0.896,0.0,0.901,0.0,0.9016,0.0,0.903,0.0,0.9041,0.0,0.918,0.0
0.909,0.0,0.897,0.0,0.903,0.0,0.9033000000000001,0.0,0.903,0.0,0.9039000000000001,0.0,0.919,0.0
0.909,0.0,0.904,0.0,0.906,0.0,0.907,0.0,0.904,0.0,0.9049000000000001,0.0,0.92,0.0
0.89,0.0,0.9,0.0,0.895,0.0,0.8962000000000001,0.0,0.903,0.0,0.9038,0.0,0.921,0.0
0.893,0.0,0.898,0.0,0.896,0.0,0.8984,0.0,0.905,0.0,0.9055000000000002,0.0,0.917,0.0
