addit_train_data_size,addit_train_data_acc,addit_train_data_f1,all_graph_acc,all_graph_f1,cc_distribution,small_cc,large_cc,bridges,wrong_bridges,cuts,wrong_cuts
48910,0.9904518503373543,0.8641256910096013,0.987,0.901,"Counter({2: 534, 3: 218, 4: 155, 5: 87, 6: 57, 7: 40, 9: 3, 1: 2, 15: 1, 10: 1})",909,189,0,0,5,0
48883,0.9908761737209255,0.8679692125518058,0.988,0.905,"Counter({2: 535, 3: 206, 4: 154, 5: 90, 6: 54, 7: 43, 9: 4, 1: 3, 10: 2, 8: 1})",898,194,0,0,7,2
48924,0.9907407407407407,0.8659366676531518,0.988,0.907,"Counter({2: 541, 3: 202, 4: 151, 5: 89, 6: 55, 7: 40, 9: 5, 8: 2, 1: 2})",896,191,0,0,8,2
48867,0.9909755049419854,0.8676867686768677,0.988,0.905,"Counter({2: 540, 3: 204, 4: 145, 5: 89, 6: 56, 7: 41, 8: 3, 9: 3, 10: 2, 1: 2, 11: 1})",891,195,1,0,8,2
48956,0.9912166026636163,0.8733804475853946,0.989,0.912,"Counter({2: 557, 3: 201, 4: 148, 5: 89, 6: 52, 7: 40, 9: 4, 1: 3, 10: 1})",909,186,0,0,8,2
48936,0.9906204021579206,0.8648807771563143,0.988,0.907,"Counter({2: 539, 3: 208, 4: 151, 5: 87, 6: 59, 7: 37, 9: 5, 1: 3, 10: 1})",901,189,1,0,11,2
48870,0.9906281972580315,0.8643364928909952,0.987,0.899,"Counter({2: 546, 3: 204, 4: 149, 5: 87, 6: 53, 7: 38, 9: 5, 1: 3, 8: 2, 10: 1, 15: 1, 11: 1})",902,188,0,0,10,2
48883,0.9907125176441708,0.8658392434988179,0.987,0.904,"Counter({2: 537, 3: 208, 4: 155, 5: 86, 6: 57, 7: 38, 9: 5, 10: 2, 1: 2, 8: 1, 11: 1})",902,190,1,0,8,3
48893,0.9904280776389258,0.8629976580796253,0.987,0.901,"Counter({2: 531, 3: 216, 4: 156, 5: 92, 6: 56, 7: 37, 9: 3, 1: 2, 11: 2, 8: 1, 10: 1})",905,192,0,0,7,2
48959,0.9906656590208134,0.8664913818288051,0.988,0.91,"Counter({2: 547, 3: 214, 4: 151, 5: 84, 6: 56, 7: 39, 9: 3, 10: 2, 1: 2, 8: 1})",914,185,0,0,7,2
48851,0.9914024277906286,0.874251497005988,0.988,0.906,"Counter({2: 533, 3: 204, 4: 150, 5: 88, 6: 61, 7: 40, 9: 4, 1: 2, 16: 1, 8: 1, 10: 1})",889,196,0,0,8,1
48935,0.9911310922652499,0.8722778104767511,0.988,0.911,"Counter({2: 554, 3: 205, 4: 150, 5: 84, 6: 55, 7: 38, 9: 4, 1: 2, 15: 1, 10: 1, 8: 1})",911,184,0,0,7,1
48928,0.9904962393721386,0.8623038199585431,0.988,0.907,"Counter({2: 541, 3: 215, 4: 145, 5: 87, 6: 56, 7: 40, 9: 3, 1: 3, 10: 2, 8: 1})",904,189,0,0,11,1
48843,0.9909301230473149,0.867086708670867,0.987,0.904,"Counter({2: 538, 3: 207, 4: 149, 5: 89, 6: 57, 7: 38, 9: 5, 8: 2, 10: 2, 11: 2, 1: 2})",896,195,1,0,8,1
48847,0.9907875611603578,0.8656716417910446,0.987,0.901,"Counter({2: 546, 3: 203, 4: 147, 5: 87, 6: 53, 7: 42, 8: 3, 9: 3, 10: 2, 1: 2, 20: 1})",898,191,1,0,9,1
48904,0.9909209880582366,0.8696418085731064,0.988,0.908,"Counter({2: 543, 3: 203, 4: 161, 5: 84, 6: 58, 7: 41, 9: 4, 1: 3, 10: 2, 8: 1})",910,190,0,0,11,1
48901,0.9910840269115151,0.8708530805687202,0.988,0.909,"Counter({2: 543, 3: 201, 4: 156, 5: 87, 6: 53, 7: 43, 9: 5, 8: 2, 1: 2})",902,190,0,0,8,1
48823,0.9908444790365196,0.8668453976764968,0.987,0.9,"Counter({2: 535, 3: 207, 4: 154, 5: 89, 6: 55, 7: 40, 8: 3, 9: 3, 1: 3, 10: 2, 16: 1, 11: 1})",899,194,1,0,12,1
48858,0.9907077653608416,0.8648004764740916,0.987,0.903,"Counter({2: 544, 3: 214, 4: 146, 5: 89, 6: 52, 7: 42, 9: 3, 10: 2, 8: 2, 1: 2, 16: 1})",906,191,0,0,7,1
48863,0.9912817469250762,0.8723021582733813,0.988,0.908,"Counter({2: 539, 3: 200, 4: 152, 5: 91, 6: 55, 7: 43, 9: 4, 10: 2, 1: 2, 8: 1})",893,196,2,0,8,1
48786,0.9911245029311688,0.8687481054865109,0.987,0.899,"Counter({2: 537, 3: 203, 4: 145, 5: 92, 6: 53, 7: 36, 8: 3, 10: 3, 9: 3, 1: 3, 11: 2, 13: 2, 14: 1})",888,195,3,0,11,1
48861,0.9912609238451935,0.8731054977711739,0.988,0.906,"Counter({2: 545, 3: 205, 4: 150, 5: 92, 6: 54, 7: 38, 9: 4, 1: 3, 17: 1, 10: 1, 11: 1})",903,191,1,0,7,1
48849,0.9914020757845606,0.8748510131108462,0.988,0.906,"Counter({2: 545, 3: 194, 4: 157, 5: 86, 6: 53, 7: 41, 9: 4, 10: 2, 1: 2, 17: 1, 8: 1, 11: 1})",898,189,0,0,6,1
48895,0.9912056447489518,0.8724035608308606,0.988,0.909,"Counter({2: 546, 3: 208, 4: 149, 5: 88, 6: 52, 7: 40, 9: 5, 10: 2, 1: 2, 11: 1, 8: 1})",905,189,0,0,7,1
48761,0.9912019851930847,0.8713643178410795,0.986,0.897,"Counter({2: 541, 3: 196, 4: 156, 5: 88, 6: 56, 7: 39, 9: 4, 1: 3, 8: 2, 10: 2, 29: 1, 11: 1})",896,193,1,0,11,1
48876,0.9916523447090596,0.8792899408284024,0.988,0.911,"Counter({2: 545, 3: 202, 4: 157, 5: 86, 6: 54, 7: 41, 9: 4, 1: 3, 15: 1, 10: 1, 11: 1})",907,188,0,0,10,1
48813,0.9915801118554484,0.8759432538484756,0.988,0.906,"Counter({2: 536, 3: 198, 4: 151, 5: 90, 6: 55, 7: 37, 9: 5, 10: 3, 11: 3, 8: 2, 1: 2})",887,195,2,0,9,1
48725,0.9908055413032324,0.8639125151883353,0.985,0.89,"Counter({2: 534, 3: 211, 4: 142, 5: 92, 6: 55, 7: 37, 9: 6, 8: 4, 1: 3, 10: 2, 29: 1})",890,197,0,0,9,1
48832,0.9912147771952818,0.8718255153869137,0.988,0.905,"Counter({2: 532, 3: 201, 4: 157, 5: 89, 6: 58, 7: 39, 1: 5, 9: 4, 8: 3, 17: 1, 10: 1})",895,195,0,0,12,1
48750,0.9913846153846154,0.8735701384708008,0.986,0.896,"Counter({2: 531, 3: 203, 4: 153, 5: 87, 6: 57, 7: 38, 1: 5, 8: 4, 10: 4, 9: 3, 28: 1})",892,194,0,0,16,1
48695,0.9909436287093131,0.8668076109936574,0.985,0.887,"Counter({2: 522, 3: 208, 4: 152, 5: 87, 6: 55, 7: 37, 8: 5, 9: 5, 10: 3, 1: 3, 30: 1, 11: 1})",885,194,0,0,14,1
48812,0.9914160452347783,0.8739091182666265,0.988,0.906,"Counter({2: 534, 3: 205, 4: 152, 5: 88, 6: 58, 7: 37, 1: 5, 9: 4, 8: 3, 10: 2, 12: 1, 15: 1, 11: 1})",896,195,2,0,14,1
48847,0.9912584191454951,0.8721174004192872,0.988,0.908,"Counter({2: 539, 3: 201, 4: 154, 5: 89, 6: 57, 7: 41, 9: 3, 1: 3, 8: 2, 19: 1, 10: 1})",897,194,0,0,11,1
48832,0.9916653014416776,0.877002115442732,0.988,0.909,"Counter({2: 539, 3: 203, 4: 148, 5: 87, 6: 56, 7: 38, 9: 5, 1: 4, 8: 3, 10: 3, 15: 1})",894,193,2,0,13,1
48845,0.9915037363087317,0.8748114630467572,0.988,0.91,"Counter({2: 546, 3: 204, 4: 145, 5: 90, 6: 53, 7: 39, 9: 4, 10: 3, 8: 3, 1: 2, 15: 1})",897,193,2,0,13,2
48861,0.9916088495937455,0.8764315852923448,0.988,0.911,"Counter({2: 549, 3: 206, 4: 142, 5: 91, 6: 54, 7: 39, 9: 5, 1: 4, 8: 3, 10: 2})",901,194,0,0,13,2
48810,0.9913132554804344,0.8719033232628399,0.988,0.905,"Counter({2: 535, 3: 198, 4: 153, 5: 92, 6: 58, 7: 37, 8: 3, 10: 3, 9: 3, 1: 3, 14: 1, 11: 1})",889,198,1,0,11,2
48856,0.99154658588505,0.8761619190404797,0.988,0.91,"Counter({2: 546, 3: 204, 4: 148, 5: 94, 6: 55, 7: 40, 9: 3, 10: 2, 1: 2, 16: 1})",900,195,0,0,12,2
