P_model,P_model_std,R_model,R_model_std,F1_model_micro_one_lab,F1_model_micro_one_lab_std,F1_model_micro_one_boost,F1_model_micro_one_boost_std,F1_model_macro_one_lab,F1_model_macro_one_lab_std,F1_model_macro_one_boost,F1_model_macro_one_boost_std
0.892,0.0,0.929,0.0,0.91,0.0,0.921,0.0,0.9351666666666666,0.0,0.9423333333333334,0.0
0.92,0.0,0.901,0.0,0.91,0.0,0.907,0.0,0.9331666666666667,0.0,0.9336666666666668,0.0
0.932,0.0,0.91,0.0,0.921,0.0,0.919,0.0,0.9393333333333334,0.0,0.94,0.0
0.919,0.0,0.912,0.0,0.915,0.0,0.926,0.0,0.9385,0.0,0.9458333333333334,0.0
0.906,0.0,0.918,0.0,0.912,0.0,0.922,0.0,0.9354999999999999,0.0,0.944,0.0
0.903,0.0,0.915,0.0,0.909,0.0,0.917,0.0,0.9336666666666665,0.0,0.9394999999999999,0.0
0.908,0.0,0.921,0.0,0.915,0.0,0.922,0.0,0.9381666666666666,0.0,0.9438333333333334,0.0
0.913,0.0,0.912,0.0,0.912,0.0,0.915,0.0,0.9368333333333334,0.0,0.9395000000000001,0.0
0.92,0.0,0.906,0.0,0.913,0.0,0.922,0.0,0.935,0.0,0.9424999999999999,0.0
0.908,0.0,0.902,0.0,0.905,0.0,0.919,0.0,0.9328333333333333,0.0,0.9413333333333332,0.0
0.907,0.0,0.92,0.0,0.913,0.0,0.916,0.0,0.9361666666666667,0.0,0.9398333333333334,0.0
0.916,0.0,0.904,0.0,0.91,0.0,0.921,0.0,0.9329999999999999,0.0,0.9423333333333334,0.0
0.919,0.0,0.896,0.0,0.907,0.0,0.918,0.0,0.9331666666666667,0.0,0.9401666666666667,0.0
0.915,0.0,0.918,0.0,0.917,0.0,0.912,0.0,0.9398333333333332,0.0,0.9375,0.0
0.918,0.0,0.921,0.0,0.919,0.0,0.923,0.0,0.9393333333333335,0.0,0.945,0.0
0.917,0.0,0.925,0.0,0.921,0.0,0.923,0.0,0.9426666666666667,0.0,0.9415,0.0
0.918,0.0,0.92,0.0,0.919,0.0,0.921,0.0,0.9433333333333334,0.0,0.9431666666666668,0.0
0.908,0.0,0.932,0.0,0.919,0.0,0.924,0.0,0.9413333333333332,0.0,0.9466666666666667,0.0
0.911,0.0,0.924,0.0,0.918,0.0,0.923,0.0,0.9388333333333333,0.0,0.9436666666666667,0.0
0.909,0.0,0.929,0.0,0.919,0.0,0.923,0.0,0.9416666666666665,0.0,0.9441666666666665,0.0
0.908,0.0,0.928,0.0,0.918,0.0,0.924,0.0,0.9376666666666665,0.0,0.945,0.0
0.912,0.0,0.932,0.0,0.922,0.0,0.922,0.0,0.9436666666666667,0.0,0.9416666666666668,0.0
0.919,0.0,0.932,0.0,0.926,0.0,0.921,0.0,0.9443333333333334,0.0,0.9431666666666666,0.0
0.919,0.0,0.925,0.0,0.922,0.0,0.923,0.0,0.9423333333333334,0.0,0.9433333333333334,0.0
0.914,0.0,0.93,0.0,0.922,0.0,0.922,0.0,0.9425,0.0,0.9421666666666667,0.0
0.904,0.0,0.931,0.0,0.917,0.0,0.923,0.0,0.9375,0.0,0.945,0.0
