P_model,P_model_std,R_model,R_model_std,F1_model_micro_one_lab,F1_model_micro_one_lab_std,F1_model_micro_one_boost,F1_model_micro_one_boost_std,F1_model_macro_one_lab,F1_model_macro_one_lab_std,F1_model_macro_one_boost,F1_model_macro_one_boost_std,F1_model_micro_mult_lab,F1_model_micro_mult_lab_std,F1_model_micro_mult_boost,F1_model_micro_mult_boost_std,F1_model_micro_mult_transfer_boost,F1_model_micro_mult_transfer_boost_std,F1_model_macro_mult_lab,F1_model_macro_mult_lab_std,F1_model_macro_mult_boost,F1_model_macro_mult_boost_std,F1_model_macro_mult_transfer_boost,F1_model_macro_mult_transfer_boost_std
0.963,0.0,0.898,0.0,0.929,0.0,0.942,0.0,0.9324,0.0,0.9449000000000002,0.0,0.4082866630321653,0.0,0.9457974919680797,0.0,,,0.7663,0.0,0.9488,0.0,,
0.962,0.0,0.899,0.0,0.93,0.0,0.945,0.0,0.9326000000000001,0.0,0.9474,0.0,0.410137108350245,0.0,0.9451870272510621,0.0,,,0.7684,0.0,0.9480999999999999,0.0,,
0.956,0.0,0.894,0.0,0.924,0.0,0.942,0.0,0.9273,0.0,0.945,0.0,0.40943871254381203,0.0,0.9439039536327883,0.0,,,0.7653000000000001,0.0,0.9470000000000001,0.0,,
0.957,0.0,0.901,0.0,0.928,0.0,0.939,0.0,0.9322000000000001,0.0,0.9414999999999999,0.0,0.40503980075206336,0.0,0.9435558765865236,0.0,,,0.7651,0.0,0.9463000000000001,0.0,,
0.959,0.0,0.896,0.0,0.926,0.0,0.94,0.0,0.9294,0.0,0.9437,0.0,0.403480471232341,0.0,0.9447371139345109,0.0,,,0.7623,0.0,0.9480999999999999,0.0,,
0.96,0.0,0.895,0.0,0.926,0.0,0.941,0.0,0.93,0.0,0.9437,0.0,0.43562265744602235,0.0,0.9451232139159247,0.0,,,0.7638,0.0,0.9480999999999999,0.0,,
0.962,0.0,0.895,0.0,0.927,0.0,0.941,0.0,0.9301,0.0,0.9433,0.0,0.4300699300699301,0.0,0.9419915210422913,0.0,,,0.7537,0.0,0.9442999999999999,0.0,,
0.962,0.0,0.89,0.0,0.925,0.0,0.945,0.0,0.9273000000000001,0.0,0.9479000000000001,0.0,0.4300106044538707,0.0,0.9459571814591561,0.0,,,0.754,0.0,0.9494,0.0,,
0.969,0.0,0.895,0.0,0.931,0.0,0.939,0.0,0.9338,0.0,0.9402000000000001,0.0,0.6683164233275591,0.0,0.9405081594711836,0.0,,,0.7754000000000001,0.0,0.9425999999999999,0.0,,
0.961,0.0,0.902,0.0,0.931,0.0,0.943,0.0,0.9329000000000001,0.0,0.9457000000000001,0.0,0.6658401520786841,0.0,0.9437805258235478,0.0,,,0.7715000000000001,0.0,0.9467000000000001,0.0,,
0.972,0.0,0.898,0.0,0.933,0.0,0.936,0.0,0.9362,0.0,0.938,0.0,0.6773324351633546,0.0,0.93790546802595,0.0,,,0.7904,0.0,0.9401999999999999,0.0,,
0.967,0.0,0.899,0.0,0.932,0.0,0.944,0.0,0.9353,0.0,0.9471999999999999,0.0,0.6781202627589691,0.0,0.9456555752581621,0.0,,,0.7917000000000001,0.0,0.9490000000000001,0.0,,
