addit_train_data_size,addit_train_data_acc,addit_train_data_f1,all_graph_acc,all_graph_f1,cc_distribution,small_cc,large_cc,bridges,wrong_bridges,cuts,wrong_cuts
254789,0.9960751837795195,0.9513429349941613,0.99,0.89,"Counter({2: 1531, 3: 789, 4: 442, 5: 383, 6: 32, 7: 16, 8: 8, 9: 8, 12: 2, 28: 1, 41: 1, 56: 1, 74: 1, 10: 1, 1: 1})",3146,71,20,0,8,0
255026,0.9962670472814537,0.9534747336526244,0.991,0.902,"Counter({2: 1543, 3: 794, 4: 442, 5: 373, 6: 34, 7: 20, 8: 11, 9: 4, 10: 3, 48: 2, 12: 2, 28: 1, 41: 1, 11: 1, 1: 1})",3153,79,20,0,4,0
254757,0.9950109319861672,0.935242268303867,0.991,0.897,"Counter({2: 1471, 3: 790, 4: 443, 5: 360, 6: 58, 7: 34, 8: 18, 9: 14, 10: 6, 11: 4, 13: 3, 12: 3, 14: 2, 57: 1, 25: 1, 18: 1})",3064,145,43,0,1,0
255553,0.995683869882177,0.9458597162911697,0.993,0.918,"Counter({2: 1536, 3: 791, 4: 445, 5: 376, 6: 34, 7: 27, 8: 9, 9: 6, 10: 5, 11: 4, 12: 2, 13: 2, 26: 1, 20: 1, 18: 1, 15: 1, 1: 1})",3149,93,30,0,1,0
255493,0.9964969686057935,0.9569649468673367,0.993,0.918,"Counter({2: 1562, 3: 802, 4: 451, 5: 383, 6: 23, 7: 20, 8: 9, 10: 4, 11: 2, 12: 2, 23: 1, 27: 1, 37: 1, 13: 1, 39: 1, 9: 1})",3198,66,16,0,2,0
255565,0.9961810107017784,0.9527635272480883,0.993,0.918,"Counter({2: 1558, 3: 803, 4: 448, 5: 378, 6: 32, 7: 20, 8: 5, 10: 4, 9: 3, 13: 2, 12: 2, 21: 1, 20: 1, 14: 1, 25: 1, 36: 1})",3187,73,21,0,0,0
256133,0.9959122799483081,0.949762487404635,0.994,0.93,"Counter({2: 1543, 3: 803, 4: 452, 5: 371, 6: 26, 7: 16, 8: 6, 10: 3, 9: 2, 16: 1, 27: 1, 13: 1, 1: 1})",3170,56,13,0,2,0
255368,0.9952578240030074,0.9392647575104068,0.992,0.914,"Counter({2: 1531, 3: 788, 4: 443, 5: 351, 6: 62, 7: 22, 10: 8, 8: 8, 9: 7, 11: 3, 12: 3, 15: 2, 1: 2, 14: 1, 17: 1, 19: 1, 13: 1})",3115,119,35,0,3,0
255196,0.9953917773005847,0.9408748114630467,0.992,0.911,"Counter({2: 1536, 3: 785, 4: 436, 5: 359, 6: 42, 7: 24, 8: 14, 9: 10, 10: 6, 12: 4, 18: 3, 15: 3, 21: 1, 20: 1, 16: 1, 14: 1, 22: 1, 19: 1, 11: 1})",3116,113,40,0,2,0
255024,0.9958396072526507,0.9464709146864436,0.992,0.914,"Counter({2: 1493, 3: 789, 4: 441, 5: 371, 6: 42, 7: 29, 8: 18, 9: 9, 10: 8, 12: 5, 15: 3, 22: 2, 14: 2, 1: 2, 47: 1, 17: 1, 24: 1, 11: 1, 16: 1})",3096,123,44,2,2,1
