P,P_std,R,R_std,F1_micro,F1_micro_std,F1_macro,F1_macro_std,F1_micro_boot,F1_micro_boot_std,F1_macro_boot,F1_macro_boot_std,F1_model_micro_boost_graph,F1_model_micro_boost_graph_std
0.607,0.0,0.862,0.0,0.713,0.0,0.7176666666666667,0.0,0.227,0.0,0.43049999999999994,0.0,0.713,0.0
0.63,0.0,0.83,0.0,0.716,0.0,0.6691666666666666,0.0,0.282,0.0,0.4633333333333333,0.0,0.716,0.0
0.624,0.0,0.842,0.0,0.716,0.0,0.6985,0.0,0.253,0.0,0.4511666666666667,0.0,0.716,0.0
0.686,0.0,0.852,0.0,0.76,0.0,0.747,0.0,0.344,0.0,0.4916666666666667,0.0,0.76,0.0
0.72,0.0,0.852,0.0,0.78,0.0,0.7565,0.0,0.344,0.0,0.4945,0.0,0.78,0.0
0.756,0.0,0.84,0.0,0.796,0.0,0.7665000000000001,0.0,0.415,0.0,0.5358333333333334,0.0,0.796,0.0
0.799,0.0,0.823,0.0,0.811,0.0,0.7531666666666667,0.0,0.401,0.0,0.5273333333333333,0.0,0.811,0.0
0.825,0.0,0.826,0.0,0.825,0.0,0.7773333333333333,0.0,0.457,0.0,0.5571666666666667,0.0,0.838,0.0
0.814,0.0,0.816,0.0,0.815,0.0,0.7603333333333332,0.0,0.448,0.0,0.5525,0.0,0.836,0.0
0.828,0.0,0.835,0.0,0.831,0.0,0.7873333333333333,0.0,0.48,0.0,0.5715,0.0,0.833,0.0
0.846,0.0,0.788,0.0,0.816,0.0,0.7806666666666667,0.0,0.479,0.0,0.5735,0.0,0.839,0.0
0.836,0.0,0.798,0.0,0.817,0.0,0.7545000000000001,0.0,0.525,0.0,0.5935,0.0,0.833,0.0
0.826,0.0,0.807,0.0,0.816,0.0,0.7715,0.0,0.516,0.0,0.5903333333333334,0.0,0.828,0.0
0.814,0.0,0.835,0.0,0.824,0.0,0.7833333333333332,0.0,0.557,0.0,0.6088333333333333,0.0,0.828,0.0
0.827,0.0,0.841,0.0,0.834,0.0,0.7928333333333333,0.0,0.54,0.0,0.6023333333333334,0.0,0.836,0.0
0.84,0.0,0.823,0.0,0.832,0.0,0.7839999999999999,0.0,0.582,0.0,0.6263333333333333,0.0,0.841,0.0
0.85,0.0,0.821,0.0,0.835,0.0,0.7883333333333334,0.0,0.583,0.0,0.6306666666666666,0.0,0.839,0.0
0.847,0.0,0.83,0.0,0.838,0.0,0.7955,0.0,0.632,0.0,0.6588333333333334,0.0,0.834,0.0
0.841,0.0,0.8,0.0,0.82,0.0,0.7711666666666667,0.0,0.63,0.0,0.6585,0.0,0.838,0.0
0.845,0.0,0.837,0.0,0.841,0.0,0.7966666666666667,0.0,0.654,0.0,0.6711666666666667,0.0,0.822,0.0
0.843,0.0,0.829,0.0,0.836,0.0,0.7948333333333332,0.0,0.652,0.0,0.6701666666666667,0.0,0.84,0.0
0.869,0.0,0.808,0.0,0.838,0.0,0.7958333333333333,0.0,0.692,0.0,0.6938333333333334,0.0,0.837,0.0
0.866,0.0,0.815,0.0,0.84,0.0,0.7981666666666666,0.0,0.691,0.0,0.6971666666666666,0.0,0.836,0.0
0.887,0.0,0.805,0.0,0.844,0.0,0.8016666666666666,0.0,0.714,0.0,0.7111666666666666,0.0,0.839,0.0
0.867,0.0,0.825,0.0,0.846,0.0,0.8019999999999999,0.0,0.713,0.0,0.7146666666666667,0.0,0.845,0.0
0.868,0.0,0.812,0.0,0.839,0.0,0.7978333333333333,0.0,0.739,0.0,0.7298333333333332,0.0,0.848,0.0
0.875,0.0,0.828,0.0,0.851,0.0,0.8041666666666667,0.0,0.737,0.0,0.7324999999999999,0.0,0.844,0.0
0.865,0.0,0.827,0.0,0.845,0.0,0.8006666666666667,0.0,0.757,0.0,0.7448333333333333,0.0,0.848,0.0
0.874,0.0,0.81,0.0,0.841,0.0,0.7986666666666666,0.0,0.757,0.0,0.7443333333333334,0.0,0.848,0.0
0.857,0.0,0.836,0.0,0.846,0.0,0.8019999999999999,0.0,0.771,0.0,0.7535,0.0,0.848,0.0
0.846,0.0,0.837,0.0,0.842,0.0,0.7984999999999999,0.0,0.759,0.0,0.7461666666666668,0.0,0.846,0.0
0.844,0.0,0.843,0.0,0.844,0.0,0.7996666666666666,0.0,0.777,0.0,0.7566666666666667,0.0,0.845,0.0
0.847,0.0,0.837,0.0,0.842,0.0,0.7986666666666666,0.0,0.763,0.0,0.7488333333333334,0.0,0.844,0.0
0.853,0.0,0.837,0.0,0.845,0.0,0.8006666666666665,0.0,0.782,0.0,0.7605000000000001,0.0,0.844,0.0
0.833,0.0,0.845,0.0,0.839,0.0,0.7961666666666666,0.0,0.77,0.0,0.754,0.0,0.849,0.0
0.843,0.0,0.837,0.0,0.84,0.0,0.798,0.0,0.784,0.0,0.7618333333333333,0.0,0.847,0.0
0.849,0.0,0.837,0.0,0.843,0.0,0.7988333333333332,0.0,0.77,0.0,0.7531666666666667,0.0,0.847,0.0
0.858,0.0,0.837,0.0,0.848,0.0,0.8028333333333334,0.0,0.784,0.0,0.7616666666666667,0.0,0.847,0.0
0.829,0.0,0.852,0.0,0.84,0.0,0.7979999999999999,0.0,0.783,0.0,0.762,0.0,0.852,0.0
